Variable,Value
latest.repayment.4_yr_db_fed_repayment.ug_completer_unknown.numerator,16230481
latest.repayment.4_yr_db_fed_repayment.ug_completer_unknown.denominator,15882805
latest.repayment.5_yr_db_fed_repayment.gr.rate,
latest.repayment.5_yr_db_fed_repayment.gr.count,
latest.repayment.5_yr_db_fed_repayment.gr.numerator,
latest.repayment.5_yr_db_fed_repayment.gr.denominator,
latest.repayment.5_yr_db_fed_repayment.ug.rate,0.99821969518943
latest.repayment.5_yr_db_fed_repayment.ug.count,4671
latest.repayment.5_yr_db_fed_repayment.ug.numerator,41140356
latest.repayment.5_yr_db_fed_repayment.ug.denominator,41213729
latest.repayment.10_yr_db_fed_repayment.gr.rate,0.44277539341917
latest.repayment.10_yr_db_fed_repayment.gr.count,12
latest.repayment.10_yr_db_fed_repayment.gr.numerator,38378
latest.repayment.10_yr_db_fed_repayment.gr.denominator,86676
latest.repayment.10_yr_db_fed_repayment.ug.rate,0.82112419126357
latest.repayment.10_yr_db_fed_repayment.ug.count,2187
latest.repayment.10_yr_db_fed_repayment.ug.numerator,10753100
latest.repayment.10_yr_db_fed_repayment.ug.denominator,13095583
latest.repayment.1_yr_bb_fed_repayment.gr.count,
latest.repayment.1_yr_bb_fed_repayment.gr.default,
latest.repayment.1_yr_bb_fed_repayment.gr.deferment,
latest.repayment.1_yr_bb_fed_repayment.gr.discharge,
latest.repayment.1_yr_bb_fed_repayment.gr.fullypaid,
latest.repayment.1_yr_bb_fed_repayment.gr.delinquent,
latest.repayment.1_yr_bb_fed_repayment.gr.noprogress,
latest.repayment.1_yr_bb_fed_repayment.gr.forbearance,
latest.repayment.1_yr_bb_fed_repayment.gr.makingprogress,
latest.repayment.1_yr_bb_fed_repayment.ug.count,3281
latest.repayment.1_yr_bb_fed_repayment.ug.default,0
latest.repayment.1_yr_bb_fed_repayment.ug.deferment,0.2
latest.repayment.1_yr_bb_fed_repayment.ug.discharge,0
latest.repayment.1_yr_bb_fed_repayment.ug.fullypaid,0.05
latest.repayment.1_yr_bb_fed_repayment.ug.delinquent,0.03
latest.repayment.1_yr_bb_fed_repayment.ug.noprogress,0.11
latest.repayment.1_yr_bb_fed_repayment.ug.forbearance,0.55
latest.repayment.1_yr_bb_fed_repayment.ug.makingprogress,0.06
latest.repayment.1_yr_bb_fed_repayment.male.count,1418
latest.repayment.1_yr_bb_fed_repayment.male.default,<=0.01
latest.repayment.1_yr_bb_fed_repayment.male.deferment,0.18
latest.repayment.1_yr_bb_fed_repayment.male.discharge,<=0.01
latest.repayment.1_yr_bb_fed_repayment.male.fullypaid,0.05
latest.repayment.1_yr_bb_fed_repayment.male.delinquent,0.03
latest.repayment.1_yr_bb_fed_repayment.male.noprogress,0.10
latest.repayment.1_yr_bb_fed_repayment.male.forbearance,0.56
latest.repayment.1_yr_bb_fed_repayment.male.makingprogress,0.07
latest.repayment.1_yr_bb_fed_repayment.pell.count,2502
latest.repayment.1_yr_bb_fed_repayment.pell.default,<=0.02
latest.repayment.1_yr_bb_fed_repayment.pell.deferment,0.19-0.20
latest.repayment.1_yr_bb_fed_repayment.pell.discharge,<=0.02
latest.repayment.1_yr_bb_fed_repayment.pell.fullypaid,0.03-0.04
latest.repayment.1_yr_bb_fed_repayment.pell.delinquent,0.03-0.04
latest.repayment.1_yr_bb_fed_repayment.pell.noprogress,0.11-0.12
latest.repayment.1_yr_bb_fed_repayment.pell.forbearance,0.55-0.56
latest.repayment.1_yr_bb_fed_repayment.pell.makingprogress,0.05-0.06
latest.repayment.1_yr_bb_fed_repayment.grcomp.count,
latest.repayment.1_yr_bb_fed_repayment.grcomp.default,
latest.repayment.1_yr_bb_fed_repayment.grcomp.deferment,
latest.repayment.1_yr_bb_fed_repayment.grcomp.discharge,
latest.repayment.1_yr_bb_fed_repayment.grcomp.fullypaid,
latest.repayment.1_yr_bb_fed_repayment.grcomp.delinquent,
latest.repayment.1_yr_bb_fed_repayment.grcomp.noprogress,
latest.repayment.1_yr_bb_fed_repayment.grcomp.forbearance,
latest.repayment.1_yr_bb_fed_repayment.grcomp.makingprogress,
latest.repayment.1_yr_bb_fed_repayment.ugcomp.count,465
latest.repayment.1_yr_bb_fed_repayment.ugcomp.default,<=0.10
latest.repayment.1_yr_bb_fed_repayment.ugcomp.deferment,0.1
latest.repayment.1_yr_bb_fed_repayment.ugcomp.discharge,<=0.10
latest.repayment.1_yr_bb_fed_repayment.ugcomp.fullypaid,<=0.10
latest.repayment.1_yr_bb_fed_repayment.ugcomp.delinquent,<=0.10
latest.repayment.1_yr_bb_fed_repayment.ugcomp.noprogress,0.1
latest.repayment.1_yr_bb_fed_repayment.ugcomp.forbearance,0.5
latest.repayment.1_yr_bb_fed_repayment.ugcomp.makingprogress,<=0.10
latest.repayment.1_yr_bb_fed_repayment.grnocomp.count,
latest.repayment.1_yr_bb_fed_repayment.grnocomp.default,
latest.repayment.1_yr_bb_fed_repayment.grnocomp.deferment,
latest.repayment.1_yr_bb_fed_repayment.grnocomp.discharge,
latest.repayment.1_yr_bb_fed_repayment.grnocomp.fullypaid,
latest.repayment.1_yr_bb_fed_repayment.grnocomp.delinquent,
latest.repayment.1_yr_bb_fed_repayment.grnocomp.noprogress,
latest.repayment.1_yr_bb_fed_repayment.grnocomp.forbearance,
latest.repayment.1_yr_bb_fed_repayment.grnocomp.makingprogress,
latest.repayment.1_yr_bb_fed_repayment.non_male.count,1863
latest.repayment.1_yr_bb_fed_repayment.non_male.default,<=0.01
latest.repayment.1_yr_bb_fed_repayment.non_male.deferment,0.22
latest.repayment.1_yr_bb_fed_repayment.non_male.discharge,<=0.01
latest.repayment.1_yr_bb_fed_repayment.non_male.fullypaid,0.04
latest.repayment.1_yr_bb_fed_repayment.non_male.delinquent,0.02
latest.repayment.1_yr_bb_fed_repayment.non_male.noprogress,0.11
latest.repayment.1_yr_bb_fed_repayment.non_male.forbearance,0.55
latest.repayment.1_yr_bb_fed_repayment.non_male.makingprogress,0.06
latest.repayment.1_yr_bb_fed_repayment.non_pell.count,779
latest.repayment.1_yr_bb_fed_repayment.non_pell.default,<=0.02
latest.repayment.1_yr_bb_fed_repayment.non_pell.deferment,0.19-0.20
latest.repayment.1_yr_bb_fed_repayment.non_pell.discharge,<=0.02
latest.repayment.1_yr_bb_fed_repayment.non_pell.fullypaid,0.07-0.08
latest.repayment.1_yr_bb_fed_repayment.non_pell.delinquent,<=0.02
latest.repayment.1_yr_bb_fed_repayment.non_pell.noprogress,0.09-0.10
latest.repayment.1_yr_bb_fed_repayment.non_pell.forbearance,0.53-0.54
latest.repayment.1_yr_bb_fed_repayment.non_pell.makingprogress,0.09-0.10
latest.repayment.1_yr_bb_fed_repayment.ugnocomp.count,2715
latest.repayment.1_yr_bb_fed_repayment.ugnocomp.default,0
latest.repayment.1_yr_bb_fed_repayment.ugnocomp.deferment,0.21
latest.repayment.1_yr_bb_fed_repayment.ugnocomp.discharge,0
latest.repayment.1_yr_bb_fed_repayment.ugnocomp.fullypaid,0.04
latest.repayment.1_yr_bb_fed_repayment.ugnocomp.delinquent,0.03
latest.repayment.1_yr_bb_fed_repayment.ugnocomp.noprogress,0.1
latest.repayment.1_yr_bb_fed_repayment.ugnocomp.forbearance,0.55
latest.repayment.1_yr_bb_fed_repayment.ugnocomp.makingprogress,0.06
latest.repayment.1_yr_bb_fed_repayment.dependent.count,2410
latest.repayment.1_yr_bb_fed_repayment.dependent.default,<=0.02
latest.repayment.1_yr_bb_fed_repayment.dependent.deferment,0.19-0.20
latest.repayment.1_yr_bb_fed_repayment.dependent.discharge,<=0.02
latest.repayment.1_yr_bb_fed_repayment.dependent.fullypaid,0.05-0.06
latest.repayment.1_yr_bb_fed_repayment.dependent.delinquent,0.03-0.04
latest.repayment.1_yr_bb_fed_repayment.dependent.noprogress,0.09-0.10
latest.repayment.1_yr_bb_fed_repayment.dependent.forbearance,0.55-0.56
latest.repayment.1_yr_bb_fed_repayment.dependent.makingprogress,0.05-0.06
latest.repayment.1_yr_bb_fed_repayment.ugunkcomp.count,101
latest.repayment.1_yr_bb_fed_repayment.ugunkcomp.default,<=0.10
latest.repayment.1_yr_bb_fed_repayment.ugunkcomp.deferment,<=0.10
latest.repayment.1_yr_bb_fed_repayment.ugunkcomp.discharge,<=0.10
latest.repayment.1_yr_bb_fed_repayment.ugunkcomp.fullypaid,<=0.10
latest.repayment.1_yr_bb_fed_repayment.ugunkcomp.delinquent,<=0.10
latest.repayment.1_yr_bb_fed_repayment.ugunkcomp.noprogress,0.3
latest.repayment.1_yr_bb_fed_repayment.ugunkcomp.forbearance,0.5
latest.repayment.1_yr_bb_fed_repayment.ugunkcomp.makingprogress,<=0.10
latest.repayment.1_yr_bb_fed_repayment.independent.count,871
latest.repayment.1_yr_bb_fed_repayment.independent.default,<=0.02
latest.repayment.1_yr_bb_fed_repayment.independent.deferment,0.19-0.20
latest.repayment.1_yr_bb_fed_repayment.independent.discharge,<=0.02
latest.repayment.1_yr_bb_fed_repayment.independent.fullypaid,0.03-0.04
latest.repayment.1_yr_bb_fed_repayment.independent.delinquent,0.03-0.04
latest.repayment.1_yr_bb_fed_repayment.independent.noprogress,0.11-0.12
latest.repayment.1_yr_bb_fed_repayment.independent.forbearance,0.55-0.56
latest.repayment.1_yr_bb_fed_repayment.independent.makingprogress,0.07-0.08
latest.repayment.20_yr_db_fed_repayment.gr.rate,
latest.repayment.20_yr_db_fed_repayment.gr.count,
latest.repayment.20_yr_db_fed_repayment.gr.numerator,
latest.repayment.20_yr_db_fed_repayment.gr.denominator,
latest.repayment.20_yr_db_fed_repayment.ug.rate,0.5410271702705
latest.repayment.20_yr_db_fed_repayment.ug.count,1535
latest.repayment.20_yr_db_fed_repayment.ug.numerator,3151427
latest.repayment.20_yr_db_fed_repayment.ug.denominator,5824896
latest.repayment.2_yr_bb_fed_repayment.gr.count,
latest.repayment.2_yr_bb_fed_repayment.gr.default,
latest.repayment.2_yr_bb_fed_repayment.gr.deferment,
latest.repayment.2_yr_bb_fed_repayment.gr.discharge,
latest.repayment.2_yr_bb_fed_repayment.gr.fullypaid,
latest.repayment.2_yr_bb_fed_repayment.gr.delinquent,
latest.repayment.2_yr_bb_fed_repayment.gr.noprogress,
latest.repayment.2_yr_bb_fed_repayment.gr.forbearance,
latest.repayment.2_yr_bb_fed_repayment.gr.makingprogress,
latest.repayment.2_yr_bb_fed_repayment.ug.count,4230
latest.repayment.2_yr_bb_fed_repayment.ug.default,0.08
latest.repayment.2_yr_bb_fed_repayment.ug.deferment,0.21
latest.repayment.2_yr_bb_fed_repayment.ug.discharge,0.01
latest.repayment.2_yr_bb_fed_repayment.ug.fullypaid,0.05
latest.repayment.2_yr_bb_fed_repayment.ug.delinquent,0.03
latest.repayment.2_yr_bb_fed_repayment.ug.noprogress,0.2
latest.repayment.2_yr_bb_fed_repayment.ug.forbearance,0.27
latest.repayment.2_yr_bb_fed_repayment.ug.makingprogress,0.15
latest.repayment.2_yr_bb_fed_repayment.male.count,1782
latest.repayment.2_yr_bb_fed_repayment.male.default,0.09
latest.repayment.2_yr_bb_fed_repayment.male.deferment,0.18
latest.repayment.2_yr_bb_fed_repayment.male.discharge,<=0.01
latest.repayment.2_yr_bb_fed_repayment.male.fullypaid,0.06
latest.repayment.2_yr_bb_fed_repayment.male.delinquent,0.04
latest.repayment.2_yr_bb_fed_repayment.male.noprogress,0.20
latest.repayment.2_yr_bb_fed_repayment.male.forbearance,0.26
latest.repayment.2_yr_bb_fed_repayment.male.makingprogress,0.17
latest.repayment.2_yr_bb_fed_repayment.pell.count,3156
latest.repayment.2_yr_bb_fed_repayment.pell.default,0.08
latest.repayment.2_yr_bb_fed_repayment.pell.deferment,0.22
latest.repayment.2_yr_bb_fed_repayment.pell.discharge,<=0.01
latest.repayment.2_yr_bb_fed_repayment.pell.fullypaid,0.04
latest.repayment.2_yr_bb_fed_repayment.pell.delinquent,0.03
latest.repayment.2_yr_bb_fed_repayment.pell.noprogress,0.21
latest.repayment.2_yr_bb_fed_repayment.pell.forbearance,0.28
latest.repayment.2_yr_bb_fed_repayment.pell.makingprogress,0.13
latest.repayment.2_yr_bb_fed_repayment.grcomp.count,
latest.repayment.2_yr_bb_fed_repayment.grcomp.default,
latest.repayment.2_yr_bb_fed_repayment.grcomp.deferment,
latest.repayment.2_yr_bb_fed_repayment.grcomp.discharge,
latest.repayment.2_yr_bb_fed_repayment.grcomp.fullypaid,
latest.repayment.2_yr_bb_fed_repayment.grcomp.delinquent,
latest.repayment.2_yr_bb_fed_repayment.grcomp.noprogress,
latest.repayment.2_yr_bb_fed_repayment.grcomp.forbearance,
latest.repayment.2_yr_bb_fed_repayment.grcomp.makingprogress,
latest.repayment.2_yr_bb_fed_repayment.ugcomp.count,829
latest.repayment.2_yr_bb_fed_repayment.ugcomp.default,<=0.05
latest.repayment.2_yr_bb_fed_repayment.ugcomp.deferment,0.2
latest.repayment.2_yr_bb_fed_repayment.ugcomp.discharge,<=0.05
latest.repayment.2_yr_bb_fed_repayment.ugcomp.fullypaid,<=0.05
latest.repayment.2_yr_bb_fed_repayment.ugcomp.delinquent,<=0.05
latest.repayment.2_yr_bb_fed_repayment.ugcomp.noprogress,0.2
latest.repayment.2_yr_bb_fed_repayment.ugcomp.forbearance,0.2
latest.repayment.2_yr_bb_fed_repayment.ugcomp.makingprogress,0.2
latest.repayment.2_yr_bb_fed_repayment.grnocomp.count,
latest.repayment.2_yr_bb_fed_repayment.grnocomp.default,
latest.repayment.2_yr_bb_fed_repayment.grnocomp.deferment,
latest.repayment.2_yr_bb_fed_repayment.grnocomp.discharge,
latest.repayment.2_yr_bb_fed_repayment.grnocomp.fullypaid,
latest.repayment.2_yr_bb_fed_repayment.grnocomp.delinquent,
latest.repayment.2_yr_bb_fed_repayment.grnocomp.noprogress,
latest.repayment.2_yr_bb_fed_repayment.grnocomp.forbearance,
latest.repayment.2_yr_bb_fed_repayment.grnocomp.makingprogress,
latest.repayment.2_yr_bb_fed_repayment.non_male.count,2449
latest.repayment.2_yr_bb_fed_repayment.non_male.default,0.07
latest.repayment.2_yr_bb_fed_repayment.non_male.deferment,0.24
latest.repayment.2_yr_bb_fed_repayment.non_male.discharge,<=0.01
latest.repayment.2_yr_bb_fed_repayment.non_male.fullypaid,0.04
latest.repayment.2_yr_bb_fed_repayment.non_male.delinquent,0.03
latest.repayment.2_yr_bb_fed_repayment.non_male.noprogress,0.20
latest.repayment.2_yr_bb_fed_repayment.non_male.forbearance,0.28
latest.repayment.2_yr_bb_fed_repayment.non_male.makingprogress,0.13
latest.repayment.2_yr_bb_fed_repayment.non_pell.count,1075
latest.repayment.2_yr_bb_fed_repayment.non_pell.default,0.06
latest.repayment.2_yr_bb_fed_repayment.non_pell.deferment,0.20
latest.repayment.2_yr_bb_fed_repayment.non_pell.discharge,<=0.01
latest.repayment.2_yr_bb_fed_repayment.non_pell.fullypaid,0.09
latest.repayment.2_yr_bb_fed_repayment.non_pell.delinquent,0.04
latest.repayment.2_yr_bb_fed_repayment.non_pell.noprogress,0.18
latest.repayment.2_yr_bb_fed_repayment.non_pell.forbearance,0.24
latest.repayment.2_yr_bb_fed_repayment.non_pell.makingprogress,0.20
latest.repayment.2_yr_bb_fed_repayment.ugnocomp.count,2941
latest.repayment.2_yr_bb_fed_repayment.ugnocomp.default,0.1
latest.repayment.2_yr_bb_fed_repayment.ugnocomp.deferment,0.22
latest.repayment.2_yr_bb_fed_repayment.ugnocomp.discharge,0.01
latest.repayment.2_yr_bb_fed_repayment.ugnocomp.fullypaid,0.05
latest.repayment.2_yr_bb_fed_repayment.ugnocomp.delinquent,0.03
latest.repayment.2_yr_bb_fed_repayment.ugnocomp.noprogress,0.17
latest.repayment.2_yr_bb_fed_repayment.ugnocomp.forbearance,0.3
latest.repayment.2_yr_bb_fed_repayment.ugnocomp.makingprogress,0.12
latest.repayment.2_yr_bb_fed_repayment.dependent.count,3035
latest.repayment.2_yr_bb_fed_repayment.dependent.default,0.08
latest.repayment.2_yr_bb_fed_repayment.dependent.deferment,0.22
latest.repayment.2_yr_bb_fed_repayment.dependent.discharge,<=0.01
latest.repayment.2_yr_bb_fed_repayment.dependent.fullypaid,0.05
latest.repayment.2_yr_bb_fed_repayment.dependent.delinquent,0.03
latest.repayment.2_yr_bb_fed_repayment.dependent.noprogress,0.19
latest.repayment.2_yr_bb_fed_repayment.dependent.forbearance,0.28
latest.repayment.2_yr_bb_fed_repayment.dependent.makingprogress,0.13
latest.repayment.2_yr_bb_fed_repayment.ugunkcomp.count,460
latest.repayment.2_yr_bb_fed_repayment.ugunkcomp.default,<=0.05
latest.repayment.2_yr_bb_fed_repayment.ugunkcomp.deferment,0.15
latest.repayment.2_yr_bb_fed_repayment.ugunkcomp.discharge,<=0.05
latest.repayment.2_yr_bb_fed_repayment.ugunkcomp.fullypaid,<=0.05
latest.repayment.2_yr_bb_fed_repayment.ugunkcomp.delinquent,<=0.05
latest.repayment.2_yr_bb_fed_repayment.ugunkcomp.noprogress,0.35
latest.repayment.2_yr_bb_fed_repayment.ugunkcomp.forbearance,0.2
latest.repayment.2_yr_bb_fed_repayment.ugunkcomp.makingprogress,0.15
latest.repayment.2_yr_bb_fed_repayment.independent.count,1196
latest.repayment.2_yr_bb_fed_repayment.independent.default,0.07
latest.repayment.2_yr_bb_fed_repayment.independent.deferment,0.20
latest.repayment.2_yr_bb_fed_repayment.independent.discharge,<=0.01
latest.repayment.2_yr_bb_fed_repayment.independent.fullypaid,0.04
latest.repayment.2_yr_bb_fed_repayment.independent.delinquent,0.03
latest.repayment.2_yr_bb_fed_repayment.independent.noprogress,0.22
latest.repayment.2_yr_bb_fed_repayment.independent.forbearance,0.25
latest.repayment.2_yr_bb_fed_repayment.independent.makingprogress,0.18
latest.repayment.3_yr_bb_fed_repayment.gr.count,
latest.repayment.3_yr_bb_fed_repayment.gr.default,
latest.repayment.3_yr_bb_fed_repayment.gr.deferment,
latest.repayment.3_yr_bb_fed_repayment.gr.discharge,
latest.repayment.3_yr_bb_fed_repayment.gr.fullypaid,
latest.repayment.3_yr_bb_fed_repayment.gr.delinquent,
latest.repayment.3_yr_bb_fed_repayment.gr.noprogress,
latest.repayment.3_yr_bb_fed_repayment.gr.forbearance,
latest.repayment.3_yr_bb_fed_repayment.gr.makingprogress,
latest.repayment.3_yr_bb_fed_repayment.ug.count,4301
latest.repayment.3_yr_bb_fed_repayment.ug.default,0.11
latest.repayment.3_yr_bb_fed_repayment.ug.deferment,0.16
latest.repayment.3_yr_bb_fed_repayment.ug.discharge,0.01
latest.repayment.3_yr_bb_fed_repayment.ug.fullypaid,0.06
latest.repayment.3_yr_bb_fed_repayment.ug.delinquent,0.03
latest.repayment.3_yr_bb_fed_repayment.ug.noprogress,0.18
latest.repayment.3_yr_bb_fed_repayment.ug.forbearance,0.29
latest.repayment.3_yr_bb_fed_repayment.ug.makingprogress,0.15
latest.repayment.3_yr_bb_fed_repayment.male.count,1816
latest.repayment.3_yr_bb_fed_repayment.male.default,0.13
latest.repayment.3_yr_bb_fed_repayment.male.deferment,0.14
latest.repayment.3_yr_bb_fed_repayment.male.discharge,<=0.01
latest.repayment.3_yr_bb_fed_repayment.male.fullypaid,0.07
latest.repayment.3_yr_bb_fed_repayment.male.delinquent,0.03
latest.repayment.3_yr_bb_fed_repayment.male.noprogress,0.18
latest.repayment.3_yr_bb_fed_repayment.male.forbearance,0.26
latest.repayment.3_yr_bb_fed_repayment.male.makingprogress,0.18
latest.repayment.3_yr_bb_fed_repayment.pell.count,3239
latest.repayment.3_yr_bb_fed_repayment.pell.default,0.11
latest.repayment.3_yr_bb_fed_repayment.pell.deferment,0.17
latest.repayment.3_yr_bb_fed_repayment.pell.discharge,<=0.01
latest.repayment.3_yr_bb_fed_repayment.pell.fullypaid,0.05
latest.repayment.3_yr_bb_fed_repayment.pell.delinquent,0.03
latest.repayment.3_yr_bb_fed_repayment.pell.noprogress,0.19
latest.repayment.3_yr_bb_fed_repayment.pell.forbearance,0.31
latest.repayment.3_yr_bb_fed_repayment.pell.makingprogress,0.13
latest.repayment.3_yr_bb_fed_repayment.grcomp.count,
latest.repayment.3_yr_bb_fed_repayment.grcomp.default,
latest.repayment.3_yr_bb_fed_repayment.grcomp.deferment,
latest.repayment.3_yr_bb_fed_repayment.grcomp.discharge,
latest.repayment.3_yr_bb_fed_repayment.grcomp.fullypaid,
latest.repayment.3_yr_bb_fed_repayment.grcomp.delinquent,
latest.repayment.3_yr_bb_fed_repayment.grcomp.noprogress,
latest.repayment.3_yr_bb_fed_repayment.grcomp.forbearance,
latest.repayment.3_yr_bb_fed_repayment.grcomp.makingprogress,
latest.repayment.3_yr_bb_fed_repayment.ugcomp.count,861
latest.repayment.3_yr_bb_fed_repayment.ugcomp.default,0.03-0.04
latest.repayment.3_yr_bb_fed_repayment.ugcomp.deferment,0.17-0.18
latest.repayment.3_yr_bb_fed_repayment.ugcomp.discharge,<=0.02
latest.repayment.3_yr_bb_fed_repayment.ugcomp.fullypaid,0.07-0.08
